config_name,resource_type,vcpu,memory_gb,hourly_cost
e2-micro,vm_instance,0.25,1,0.0084
e2-small,vm_instance,0.5,2,0.0168
e2-medium,vm_instance,1,4,0.0336
e2-standard-2,vm_instance,2,8,0.0672
e2-standard-4,vm_instance,4,16,0.1344
e2-standard-8,vm_instance,8,32,0.2688
db-f1-micro,cloud_sql,0.6,0.6,0.0150
db-g1-small,cloud_sql,0.5,1.7,0.0500
db-n1-standard-1,cloud_sql,1,3.75,0.0965
db-n1-standard-2,cloud_sql,2,7.5,0.1930
db-n1-standard-4,cloud_sql,4,15,0.3860
db-n1-standard-8,cloud_sql,8,30,0.7720
basic-m1,memorystore,1,1,0.0490
basic-m2,memorystore,1,4,0.0980
basic-m3,memorystore,2,10,0.2450
basic-m5,memorystore,4,35,0.4900
lb-small,load_balancer,1,2,0.0250
lb-medium,load_balancer,2,4,0.0500
lb-large,load_balancer,4,8,0.1000
